回号,抽選日,n1,n2,n3,n4,n5,n6,bonus,p1_cnt,p2_cnt,p3_cnt,p4_cnt,p5_cnt,p1_yen,p2_yen,p3_yen,p4_yen,p5_yen,carry
1977,2025/02/27,4,14,20,28,29,34,30,7,6,210,10859,173020,37160000,12225100,377200,7700,1000,0
1976,2025/02/24,4,6,22,30,33,36,2,1,2,222,10492,167538,200000000,32344900,314600,7000,1000,15625957
1975,2025/02/20,11,13,15,20,35,42,19,3,7,210,10719,189919,254048800,12545800,451600,9300,1000,0
1974,2025/02/17,2,6,13,21,24,30,43,0,6,313,15614,232116,0,13214000,273500,5700,1000,469420123
1973,2025/02/13,7,10,14,27,28,32,4,0,6,292,13551,183516,0,10257700,227600,5100,1000,205147427
1972,2025/02/10,3,14,27,28,32,36,12,2,11,336,14284,206312,232087100,7086100,250500,6200,1000,0
1971,2025/02/06,2,6,9,26,32,36,23,0,14,271,12116,180000,0,4379200,244300,5700,1000,204356057
1970,2025/02/03,11,26,27,31,36,37,42,1,2,220,11701,196648,473982200,40926300,401800,7900,1000,0
1969,2025/01/30,3,7,12,13,35,38,24,0,13,215,10743,178223,0,4642000,303100,6400,1000,201148825
1968,2025/01/27,6,13,15,22,35,41,37,1,4,259,11600,181112,467060300,19389500,323300,7600,1000,0
1967,2025/01/23,3,4,22,26,29,35,37,0,8,204,10972,172592,0,7820500,331200,6500,1000,208541317
1966,2025/01/20,4,12,25,29,34,36,32,2,8,246,12579,200098,245216100,9903900,347800,7100,1000,0
1965,2025/01/16,17,18,20,23,33,43,19,0,2,135,7763,137810,0,33951400,543200,9900,1000,226335385
1964,2025/01/13,2,5,28,33,35,36,34,2,5,281,12805,213836,380755400,16537200,317700,7300,1000,0
1963,2025/01/09,3,4,20,29,35,38,6,0,5,161,9398,169569,0,15889400,532900,9600,1000,485899223
1962,2025/01/06,4,8,19,22,32,37,26,0,9,262,11441,176426,0,7369600,273400,6600,1000,221083304
1961,2024/12/30,11,12,27,28,38,43,10,3,9,263,12438,197407,99354600,8202800,303100,6700,1000,0
1960,2024/12/26,10,22,27,28,31,32,8,1,4,181,9695,170170,200000000,18899500,451000,8800,1000,51986189
1959,2024/12/23,19,20,36,40,41,43,22,1,2,178,8931,149682,453644600,43878000,532400,11200,1000,0
1958,2024/12/19,1,15,16,20,21,25,19,1,6,261,11862,201654,600000000,14708400,365100,8400,1000,161134078
1957,2024/12/16,3,4,5,13,34,42,18,1,8,221,15264,254422,600000000,12233300,478200,7300,1000,466973777
1956,2024/12/12,2,19,21,24,35,42,17,0,11,322,13655,200037,0,7567700,279100,6900,1000,740760596
1955,2024/12/09,11,19,26,28,29,36,1,0,6,235,11973,197905,0,12670000,349300,7200,1000,463287000
1954,2024/12/05,2,10,15,25,35,37,22,0,8,198,10493,160003,0,7871200,343400,6800,1000,209893841
1953,2024/12/02,19,23,29,33,36,40,27,1,7,204,10031,164497,279082400,10787100,399700,8500,1000,0
1952,2024/11/28,24,25,31,32,34,40,12,1,6,151,7319,127375,200000000,11369800,487900,10600,1000,27389705
1951,2024/11/25,1,3,6,23,28,35,14,1,8,280,14140,219313,500141700,9101900,280800,5800,1000,0
1950,2024/11/21,9,20,26,28,30,42,6,0,7,144,7846,143282,0,10008700,525400,10100,1000,257432231
1949,2024/11/18,12,13,17,28,37,43,27,1,3,176,9430,159992,200000000,22391000,412100,8100,1000,23903437
1948,2024/11/14,18,29,30,38,39,43,40,2,3,242,9781,168091,377664000,29253100,391600,10200,1000,0
1947,2024/11/11,10,24,30,36,37,41,5,0,2,198,9970,168794,0,39957300,435800,9100,1000,462806084
1946,2024/11/07,8,9,11,27,36,38,18,0,10,251,11780,185328,0,5893100,253500,5700,1000,196432716
1945,2024/11/04,1,2,4,14,27,43,41,2,1,256,11359,176670,104034300,62422600,263300,6200,1000,0
1944,2024/10/31,6,11,21,33,39,42,18,2,9,232,10307,164246,105420000,7028200,294400,7000,1000,0
1943,2024/10/28,10,11,17,25,34,38,9,2,9,358,14161,207875,231601500,8200000,222600,5900,1000,0
1942,2024/10/24,1,16,18,26,27,35,29,0,2,160,9166,153660,0,32582500,439800,8100,1000,217209902
1941,2024/10/21,2,12,13,21,23,43,39,1,5,262,11432,184315,245989400,13743400,283200,6800,1000,0
1940,2024/10/17,2,14,15,25,26,42,9,1,10,309,11787,174482,200000000,6508300,227400,6300,1000,16939059
1939,2024/10/14,10,22,26,27,29,37,41,2,3,193,9701,168638,122236300,22552600,378500,7900,1000,0
1938,2024/10/10,5,9,14,32,39,41,24,1,9,234,10125,148890,200000000,7298600,303100,7400,1000,18953720
1937,2024/10/07,1,9,26,28,31,38,8,2,8,208,11143,195350,391290900,10722100,445300,8700,1000,0
1936,2024/10/03,1,6,19,29,33,35,26,0,4,189,10886,180864,0,18792900,429500,7800,1000,496665863
1935,2024/09/30,3,8,12,14,17,40,2,0,7,224,12312,201427,0,9578300,323200,6200,1000,246101056
1934,2024/09/26,6,13,16,20,27,41,30,1,3,289,10151,156787,200000000,22262000,249500,7500,1000,22613429
1933,2024/09/23,3,7,9,10,12,30,16,3,18,748,22295,240816,57055600,2852800,74100,2600,1000,0
1932,2024/09/19,1,5,16,20,24,31,29,1,10,261,11617,178498,247212700,6845000,283200,6700,1000,0
1931,2024/09/16,9,23,27,30,33,41,4,1,8,173,9168,154755,200000000,8214700,410200,8100,1000,19052827
1930,2024/09/12,5,10,19,23,29,37,11,3,15,369,16755,249362,313326300,5459300,239600,5500,1000,0
1929,2024/09/09,7,10,12,20,40,43,4,0,10,258,12018,192678,0,8618100,360700,8100,1000,667019502
1928,2024/09/05,2,18,20,24,26,29,22,0,6,175,10554,180699,0,12347500,457100,8000,1000,379755871
1927,2024/09/02,2,11,18,26,32,36,10,1,7,271,14045,219772,600000000,11986700,334300,6800,1000,132813201
1926,2024/08/29,10,13,18,24,34,37,1,0,3,239,10993,175688,0,24128600,327000,7500,1000,453132589
1925,2024/08/26,5,9,11,18,34,37,22,0,15,277,12133,185476,0,4237200,247700,5900,1000,211853722
