回号,抽選日,n1,n2,n3,n4,n5,n6,n7,bonus1,bonus2,p1_cnt,p2_cnt,p3_cnt,p4_cnt,p5_cnt,p6_cnt,p1_yen,p2_yen,p3_yen,p4_yen,p5_yen,p6_yen,carry
533,2023/07/28,2,4,9,11,14,25,37,29,32,0,7,126,5849,87880,138522,0,8311900,646400,8100,1300,1000,353679775
532,2023/07/21,4,9,13,18,26,28,36,8,16,3,10,154,7151,103172,170061,321126500,7103000,645700,8100,1300,1000,0
531,2023/07/14,4,6,9,11,14,28,30,10,12,0,15,188,7243,102958,180894,0,4506500,503300,7600,1300,900,527312195
530,2023/07/07,1,11,13,28,29,30,34,23,27,2,9,114,6398,105288,193759,1000000000,9467200,1046300,10900,1600,1000,119381960
529,2023/06/30,7,9,13,14,22,26,29,10,21,0,6,195,8405,124745,194268,0,13577000,584800,7900,1300,1000,1593884710
528,2023/06/23,5,7,10,19,30,32,33,1,17,1,12,147,6753,113489,202552,1000000000,7076600,808700,10300,1500,1000,1101315455
527,2023/06/16,4,8,12,25,27,32,34,15,17,0,20,188,7580,116209,205886,0,3983900,593300,8600,1300,900,1589401330
526,2023/06/09,4,13,17,19,20,26,29,2,28,0,10,115,5873,96844,164817,0,7403300,901200,10300,1500,1100,1095600170
525,2023/06/02,11,14,17,18,21,25,31,1,27,0,7,94,5118,85778,154759,0,9544900,995000,10700,1500,1000,650728380
524,2023/05/26,4,17,22,27,29,31,34,3,37,1,11,140,7028,106455,187891,1000000000,6798900,747800,8700,1400,900,238111585
523,2023/05/19,3,17,19,27,28,32,35,2,34,0,6,127,6025,94864,145968,0,11262000,744800,9200,1400,1100,776983410
522,2023/05/12,1,10,12,19,22,25,37,2,34,0,10,127,5525,83782,134880,0,6067800,668800,9000,1400,1100,366464655
521,2023/05/05,21,24,25,27,30,33,36,3,31,1,8,135,5258,80122,147891,638520100,8456400,701500,10500,1700,1100,0
520,2023/04/28,9,22,25,28,33,34,37,15,16,1,22,165,7403,112026,202352,1000000000,3698400,690300,9000,1400,1000,232407180
